Message,Time,Longitude,Latitude,Technology_Mode,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_PCI_4,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRP_4,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Nbr_RSRQ_4,NR_UE_Timing_Advance,NR_UE_Pathloss_DL_0,NR_UE_Throughput_PDCP_DL,App_Throughput_DL,NR_UE_NACK_Rate_DL_0,NR_UE_Ack_As_Nack_DL_0,NR_UE_MCS_DL_0,NR_UE_RB_Num_DL_0,NR_UE_Modulation_Avg_DL_0,NR_UE_RI_DL_0,NR_UE_BLER_DL_0,NR_UE_CCE_AggregationLev_0,NR_UE_Power_Tx_PUSCH_0,NR_UE_Power_Tx_PRACH_0,NR_UE_NACK_Rate_UL_0,NR_UE_RACH_Attempt,NR_UE_RACH_OK,NR_UE_RACH_Fail,NR_UE_RACH_Procedure_Count,NR_UE_RRCReEstAttempt,NR_UE_RRCReEstFail,NR_UE_RRCReEst_EndResult,NR_UE_RRCConnectionAttempt,NR_UE_RRCConnectionSetupOk,,NR_UE_RRCConnectionComplete,NR_UE_RRCConnectionDrop,NR_UE_RRCHOAttempt,NR_UE_RRCHOOK,NR_RRC_MsgType,NAS_5GS_MM_MessageType,NAS_5GS_SM_MessageType
0,03/14/2025 12:14:33,,,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
1,03/14/2025 12:14:33,,,5GSA,48,-87.1,-11.2,7.3,76,,,,,-97.3,,,,,-16.3,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
2,03/14/2025 12:14:33,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
3,03/14/2025 12:14:33,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
4,03/14/2025 12:14:33,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
5,03/14/2025 12:14:33,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
6,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
7,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
8,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
9,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
10,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
11,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
12,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
13,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
14,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
15,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
16,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
17,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
18,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
19,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,100.3,,,,,,,,,,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,
20,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
