true_lat,true_lon,pred_lat,pred_lon,error_m
41.101660,29.018410,41.101589,29.018628,19.912330
41.105580,29.027770,41.105603,29.027778,2.659811
41.106360,29.015750,41.106079,29.015468,39.217320
41.101170,29.019470,41.101141,29.019606,11.843772
41.106350,29.026450,41.106448,29.026461,10.877768
41.099430,29.023200,41.099781,29.022275,86.945799
41.105490,29.026600,41.105519,29.026591,3.367214
41.104270,29.016520,41.104043,29.016628,26.773544
41.101060,29.019930,41.101101,29.019742,16.435301
41.100830,29.020670,41.100603,29.021147,47.347826
41.105650,29.020410,41.105599,29.020286,11.900929
41.105710,29.027810,41.105972,29.027780,29.258267
41.107180,29.017440,41.107175,29.017492,4.420716
41.107290,29.018060,41.107259,29.017977,7.793434
41.104650,29.019940,41.104566,29.020055,13.430547
41.107550,29.021980,41.107582,29.022000,3.899508
41.106010,29.027770,41.106200,29.027914,24.271411
41.104840,29.022970,41.104786,29.023169,17.751054
41.105780,29.020870,41.105786,29.020907,3.189302
41.099150,29.026510,41.098975,29.025762,65.784035
41.099400,29.023430,41.099314,29.023332,12.622306
41.105190,29.026540,41.105206,29.026584,4.068999
41.106300,29.028020,41.106349,29.028069,6.847200
41.104880,29.024510,41.104911,29.024378,11.590870
41.103080,29.017430,41.103243,29.017310,20.733362
41.106370,29.022600,41.106420,29.021882,60.597754
41.107910,29.027270,41.107905,29.027345,6.349592
41.105250,29.026570,41.105310,29.026618,7.774982
41.107210,29.017660,41.107326,29.018378,61.668675
41.104930,29.024850,41.104944,29.024833,2.106761
41.099420,29.027210,41.099294,29.026956,25.515364
41.107900,29.029110,41.108025,29.028845,26.241397
41.105880,29.015360,41.106524,29.016329,108.370100
41.107320,29.029070,41.107152,29.029011,19.308534
41.107800,29.025990,41.107783,29.025981,2.041877
41.105080,29.025830,41.105134,29.026094,22.991972
41.105280,29.026610,41.105254,29.026328,23.878477
41.107820,29.025910,41.107843,29.026009,8.679774
41.104440,29.019990,41.104369,29.020176,17.453638
41.107770,29.024100,41.107716,29.023844,22.315735
41.106090,29.026470,41.106027,29.026480,7.080839
41.104770,29.019920,41.104434,29.020594,67.745614
41.107470,29.021880,41.107462,29.021872,1.054694
41.107270,29.029300,41.107396,29.029201,16.291092
41.107580,29.023270,41.107813,29.024542,109.925464
41.099160,29.024490,41.099751,29.022388,188.391175
41.104750,29.023100,41.104704,29.022950,13.612535
41.107890,29.027320,41.107927,29.027361,5.297955
41.100300,29.021570,41.100131,29.021735,23.377616
