true_lat,true_lon,pred_lat,pred_lon,error_m
41.101660,29.018410,41.101403,29.018810,44.063785
41.105580,29.027770,41.105600,29.027777,2.290628
41.106360,29.015750,41.106077,29.015467,39.453006
41.101170,29.019470,41.101147,29.019583,9.867072
41.106350,29.026450,41.106453,29.026460,11.506485
41.099430,29.023200,41.099793,29.022253,89.178693
41.105490,29.026600,41.105517,29.026590,3.078319
41.104270,29.016520,41.103800,29.016803,57.366619
41.101060,29.019930,41.101107,29.019720,18.386878
41.100830,29.020670,41.100613,29.021127,45.284862
41.105650,29.020410,41.105583,29.020247,15.590283
41.105710,29.027810,41.105907,29.027790,21.905522
41.107180,29.017440,41.107223,29.017760,27.306992
41.107290,29.018060,41.107223,29.017760,26.264707
41.104650,29.019940,41.104487,29.020127,23.977130
41.107550,29.021980,41.107577,29.021997,3.275723
41.106010,29.027770,41.106083,29.027853,10.739024
41.104840,29.022970,41.104763,29.023057,11.202399
41.105780,29.020870,41.105793,29.020940,6.063616
41.099150,29.026510,41.099003,29.025900,53.771831
41.099400,29.023430,41.099307,29.023370,11.525817
41.105190,29.026540,41.105207,29.026533,1.933794
41.106300,29.028020,41.106410,29.028130,15.317038
41.104880,29.024510,41.104907,29.024363,12.671181
41.103080,29.017430,41.103293,29.017273,27.101822
41.106370,29.022600,41.106410,29.021933,56.175751
41.107910,29.027270,41.107880,29.027350,7.500411
41.105250,29.026570,41.105300,29.026613,6.639543
41.107210,29.017660,41.107327,29.018390,62.672895
41.104930,29.024850,41.104943,29.024803,4.190417
41.099420,29.027210,41.099377,29.027993,65.982516
41.107900,29.029110,41.108023,29.028850,25.779164
41.105880,29.015360,41.106313,29.016177,83.796883
41.107320,29.029070,41.107160,29.029007,18.548243
41.107800,29.025990,41.107773,29.026073,7.600531
41.105080,29.025830,41.105147,29.026203,32.222618
41.105280,29.026610,41.105220,29.026107,42.802454
41.107820,29.025910,41.107837,29.026113,17.179578
41.104440,29.019990,41.104370,29.020187,18.258121
41.107770,29.024100,41.107710,29.023823,24.175869
41.106090,29.026470,41.106023,29.026480,7.451230
41.104770,29.019920,41.104437,29.020610,68.774297
41.107470,29.021880,41.107463,29.021873,0.928300
41.107270,29.029300,41.107380,29.029203,14.668560
41.107580,29.023270,41.107767,29.024233,83.531458
41.099160,29.024490,41.099767,29.022360,191.201842
41.104750,29.023100,41.104703,29.022947,13.883848
41.107890,29.027320,41.107933,29.027370,6.387373
41.100300,29.021570,41.100117,29.021760,25.870972
41.106090,29.027770,41.105923,29.027833,19.258705
41.104660,29.022580,41.104753,29.022947,32.498010
41.107690,29.019700,41.107573,29.019320,34.448712
41.099660,29.022490,41.099570,29.022697,20.033230
41.108050,29.028900,41.108043,29.028807,7.874662
41.106990,29.021520,41.106920,29.021850,28.789139
41.106030,29.021510,41.105693,29.020550,88.886449
41.100290,29.021450,41.100340,29.021450,5.552792
41.099200,29.026660,41.102290,29.027960,360.121061
41.107800,29.025510,41.107857,29.025310,17.939622
41.104360,29.020060,41.104363,29.020087,2.270444
41.106840,29.021510,41.107027,29.021563,21.208995
41.107910,29.026940,41.107627,29.026837,32.641070
41.107670,29.022160,41.107707,29.022480,27.186087
41.107350,29.022650,41.107577,29.021997,60.376841
41.107900,29.022340,41.107653,29.022597,34.860181
41.104390,29.020360,41.104380,29.020253,9.028807
41.100150,29.021710,41.100237,29.021607,12.961237
41.104360,29.020040,41.104380,29.020250,17.779770
41.106230,29.015560,41.106197,29.015550,3.795972
41.107210,29.026300,41.107217,29.026293,0.928301
41.105250,29.015600,41.105603,29.015503,40.071128
41.106300,29.021610,41.106253,29.022627,85.557008
41.105870,29.027800,41.105923,29.027833,6.551474
41.100070,29.021810,41.100033,29.021887,7.619902
41.104530,29.021480,41.102320,29.028023,601.969401
41.106770,29.026410,41.107073,29.026327,34.406562
41.101150,29.019570,41.101083,29.019827,22.797376
41.106330,29.015700,41.106793,29.016927,115.173073
41.107570,29.023100,41.107753,29.024127,88.608957
41.107570,29.019300,41.107573,29.019320,1.720268
41.100000,29.021980,41.100017,29.021940,3.836361
41.106860,29.028590,41.107160,29.028860,40.303578
41.107840,29.022450,41.107807,29.022373,7.428012
41.107690,29.022260,41.107660,29.022190,6.758176
41.107850,29.024400,41.107753,29.024127,25.345315
41.100280,29.021610,41.100203,29.021627,8.628635
41.106900,29.026380,41.107217,29.026603,39.858467
41.100040,29.021930,41.100037,29.021910,1.720455
41.104540,29.021510,41.104490,29.021053,38.760782
41.107890,29.027350,41.107880,29.027350,1.110560
41.099000,29.025060,41.100973,29.022097,331.661947
41.103660,29.016990,41.103503,29.017110,20.107991
41.106930,29.021500,41.106797,29.021527,14.975930
41.107300,29.029060,41.107363,29.029117,8.492796
41.104840,29.024080,41.104920,29.024667,50.075436
41.105470,29.022810,41.105157,29.022950,36.731041
41.107840,29.025070,41.107857,29.025000,6.164302
41.101150,29.019510,41.101133,29.019623,9.698982
41.104500,29.021050,41.104510,29.021180,10.976605
41.106740,29.028450,41.107903,29.027010,176.980797
41.099840,29.022160,41.100353,29.021423,84.141732
41.102210,29.017940,41.104597,29.016217,302.010852
41.107140,29.022540,41.107113,29.022017,44.059023
41.107370,29.018810,41.106673,29.016837,182.925261
41.103400,29.017220,41.103467,29.017153,9.283200
41.100270,29.021470,41.100297,29.021497,3.713343
41.106340,29.027710,41.106393,29.027710,5.922985
41.107550,29.023160,41.107587,29.023323,14.311260
41.107850,29.024430,41.107850,29.024513,6.999824
41.104670,29.022690,41.104703,29.022947,21.875984
41.108010,29.021900,41.107980,29.022053,13.303587
41.105360,29.022830,41.105333,29.022837,3.013974
41.107220,29.029470,41.107570,29.029237,43.531499
41.105680,29.015340,41.106313,29.016177,99.430289
41.107810,29.025490,41.107817,29.025467,2.095129
41.100250,29.021640,41.100267,29.021550,7.783948
41.105400,29.026610,41.105300,29.026613,11.109124
41.104760,29.023480,41.104780,29.023750,22.788989
41.106120,29.022660,41.106273,29.022293,35.193928
41.107850,29.029100,41.107887,29.029073,4.647468
41.103190,29.017360,41.103367,29.017233,22.319480
41.106730,29.028580,41.106630,29.028367,21.082124
41.105230,29.026390,41.105280,29.026780,33.227726
41.105000,29.024970,41.104993,29.025260,24.371691
41.101900,29.018180,41.105673,29.018660,420.986400
41.107780,29.022540,41.107763,29.022447,8.055347
41.107720,29.027370,41.107763,29.027373,4.820565
41.107030,29.028970,41.107133,29.028983,11.530308
41.098950,29.025570,41.098990,29.025853,24.213583
41.106440,29.015860,41.106603,29.016177,32.195985
41.104360,29.020070,41.104373,29.020137,5.792612
41.107200,29.027500,41.107150,29.027513,5.664622
41.105600,29.022780,41.105643,29.022757,5.196258
41.106320,29.015690,41.106197,29.015550,18.052769
41.100550,29.021250,41.100613,29.021127,12.522721
41.108020,29.021550,41.108023,29.021590,3.380239
41.106460,29.028120,41.106410,29.028130,5.615974
41.105600,29.026580,41.105590,29.026580,1.110559
41.105440,29.027660,41.105510,29.027723,9.420021
41.106250,29.026450,41.106293,29.026443,4.844898
41.107540,29.026220,41.107327,29.026267,24.014038
41.100950,29.020370,41.100773,29.020790,40.371018
41.106790,29.028660,41.107073,29.028877,36.350143
41.100110,29.021750,41.100053,29.021880,12.604461
41.100990,29.020220,41.100717,29.020920,66.177358
41.100330,29.021540,41.100283,29.021530,5.250251
41.104830,29.022980,41.104763,29.023057,9.812776
41.107230,29.029490,41.107543,29.029177,43.630108
41.106630,29.028450,41.106543,29.028220,21.584618
41.100280,29.021460,41.100113,29.021757,31.043742
41.105220,29.019890,41.105010,29.019840,23.696930
41.105400,29.022820,41.105753,29.022733,39.909383
41.106570,29.027660,41.106473,29.027690,11.027210
41.108010,29.021810,41.107853,29.022223,38.834678
41.107710,29.019790,41.107437,29.018907,80.167664
41.107420,29.021840,41.107117,29.022057,38.288927
41.105160,29.026120,41.105200,29.026487,31.119170
41.107930,29.027200,41.107927,29.027267,5.612075
41.099580,29.022590,41.099780,29.022310,32.351750
41.107280,29.021720,41.106920,29.021967,45.030203
41.105150,29.026020,41.105230,29.026840,69.451660
41.107270,29.029380,41.107170,29.029107,25.504500
41.105320,29.027460,41.105300,29.027383,6.812348
