RSRP_PCI3,RSRP_PCI13,RSRP_PCI23,RSRP_PCI30,RSRP_PCI40,RSRP_PCI48,RSRP_PCI59,RSRP_PCI68,RSRP_PCI76,RSRQ_PCI3,RSRQ_PCI13,RSRQ_PCI23,RSRQ_PCI30,RSRQ_PCI40,RSRQ_PCI48,RSRQ_PCI59,RSRQ_PCI68,RSRQ_PCI76,TA_Serving,SINR_Serving,Latitude,Longitude
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.10786,29.02614
-180.0,-180.0,-180.0,-180.0,-70.6,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,0.0,30.3,41.10654,29.02157
-180.0,-180.0,-180.0,-180.0,-76.9,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,0.0,27.8,41.1066,29.02156
-180.0,-180.0,-79.6,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,24.7,41.10553,29.02012
-180.0,-180.0,-93.5,-180.0,-76.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-21.4,-45.0,-10.5,-45.0,-45.0,-45.0,-45.0,0.0,23.0,41.1064,29.02161
-143.8,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-30.9,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-18.0,41.0991,29.02663
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.09969,29.02751
-180.0,-180.0,-180.0,-103.0,-180.0,-180.0,-98.0,-180.0,-97.3,-45.0,-45.0,-45.0,-19.0,-45.0,-45.0,-13.9,-45.0,-12.9,0.0,3.0,41.10764,29.02621
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-147.7,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-34.9,-45.0,0.0,-17.2,41.09926,29.0268
-180.0,-128.1,-180.0,-180.0,-128.2,-180.0,-180.0,-125.2,-180.0,-45.0,-19.0,-45.0,-45.0,-19.4,-45.0,-45.0,-16.4,-45.0,0.0,-8.5,41.10453,29.01627
-180.0,-180.0,-180.0,-180.0,-180.0,-87.1,-180.0,-180.0,-89.3,-45.0,-45.0,-45.0,-45.0,-45.0,-11.6,-45.0,-45.0,-12.5,0.0,6.5,41.1073,29.02906
-180.0,-180.0,-180.0,-88.0,-82.7,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-16.3,-11.0,-45.0,-45.0,-45.0,-45.0,0.0,10.9,41.10761,29.02203
-180.0,-180.0,-180.0,-119.2,-119.2,-180.0,-180.0,-121.2,-120.6,-45.0,-45.0,-45.0,-16.3,-16.4,-45.0,-45.0,-18.8,-17.5,0.0,-7.5,41.10693,29.01666
-180.0,-180.0,-180.0,-82.4,-180.0,-180.0,-89.6,-180.0,-180.0,-45.0,-45.0,-45.0,-10.5,-45.0,-45.0,-18.9,-45.0,-45.0,0.0,22.7,41.10783,29.02489
-180.0,-180.0,-180.0,-118.9,-118.4,-180.0,-180.0,-120.1,-121.3,-45.0,-45.0,-45.0,-16.1,-15.4,-45.0,-45.0,-16.6,-17.9,0.0,-8.0,41.10689,29.01657
-180.0,-180.0,-180.0,-120.1,-117.2,-180.0,-180.0,-118.5,-116.6,-45.0,-45.0,-45.0,-18.1,-15.9,-45.0,-45.0,-16.3,-14.8,0.0,-5.9,41.10701,29.01684
-180.0,-180.0,-180.0,-180.0,-180.0,-86.3,-180.0,-180.0,-89.0,-45.0,-45.0,-45.0,-45.0,-45.0,-11.8,-45.0,-45.0,-12.0,0.0,6.4,41.1072,29.02899
-180.0,-180.0,-180.0,-180.0,-180.0,-86.2,-180.0,-180.0,-90.8,-45.0,-45.0,-45.0,-45.0,-45.0,-11.9,-45.0,-45.0,-15.4,0.0,-1.3,41.10745,29.02914
