true_lat,true_lon,pred_lat,pred_lon,error_m
41.106160,29.021590,41.103442,29.024560,391.608701
41.099850,29.031140,41.103442,29.024560,681.678748
41.105900,29.015360,41.106539,29.015801,80.066247
41.107690,29.019700,41.108301,29.019371,73.240276
41.104670,29.022690,41.104595,29.022396,26.117593
41.107050,29.021550,41.106798,29.021848,37.552101
41.105930,29.027790,41.106049,29.027748,13.719130
41.098900,29.025660,41.103442,29.024560,512.788153
41.104160,29.016620,41.103586,29.017131,76.866782
41.104510,29.016280,41.103394,29.016560,126.192295
41.104220,29.016580,41.103829,29.016904,51.290709
41.106010,29.021490,41.103442,29.024560,384.498213
41.107600,29.023260,41.103442,29.024560,474.527254
41.106400,29.021610,41.106793,29.021690,44.176353
41.105940,29.021410,41.105721,29.020661,67.490325
41.107670,29.023680,41.103442,29.024560,475.350589
41.107820,29.024260,41.107741,29.024294,9.194841
41.100670,29.021010,41.100648,29.020815,16.546041
41.107700,29.023790,41.107670,29.023692,8.905204
41.105230,29.026390,41.105207,29.026484,8.289377
41.107390,29.029110,41.106858,29.030109,102.625560
41.106440,29.028210,41.103442,29.024560,452.657227
41.107560,29.023180,41.107662,29.024789,135.645501
41.107890,29.024660,41.103442,29.024560,494.077135
41.107820,29.025430,41.107938,29.025248,20.195638
41.105110,29.025780,41.103442,29.024560,211.740832
41.106270,29.027820,41.106196,29.027717,11.913948
41.107270,29.029360,41.103442,29.024560,585.963527
41.107450,29.021860,41.107657,29.021796,23.610836
41.104560,29.021880,41.104510,29.023895,169.391519
41.107910,29.026990,41.103442,29.024560,536.581129
41.105200,29.026270,41.105229,29.026453,15.697538
41.105670,29.027810,41.106079,29.027326,60.956085
41.108020,29.021780,41.107967,29.021528,21.974946
41.107460,29.027430,41.107561,29.027420,11.223476
41.105070,29.019820,41.105770,29.019341,87.566280
41.107720,29.027370,41.107653,29.027287,10.211044
41.101620,29.018450,41.103442,29.024560,551.673022
41.107550,29.021980,41.106670,29.022706,115.173804
41.104610,29.022320,41.104716,29.022520,20.461467
41.107330,29.026270,41.107043,29.026504,37.447648
41.106860,29.021510,41.106798,29.021848,29.222428
41.107570,29.019300,41.109105,29.019464,170.983023
41.105100,29.025980,41.105284,29.027058,92.812640
41.107620,29.022510,41.107267,29.022666,41.371097
41.104830,29.019910,41.105024,29.020163,30.261103
41.104520,29.021280,41.104562,29.021127,13.660763
41.107850,29.029100,41.107780,29.029095,7.789350
41.107510,29.019110,41.107526,29.020900,150.327703
41.107900,29.029110,41.107920,29.029017,8.148708
41.099860,29.027850,41.103442,29.024560,484.383316
41.108040,29.028080,41.106869,29.028834,144.646356
41.107660,29.022730,41.107736,29.022447,25.212947
41.106300,29.015670,41.106524,29.015447,31.123712
41.106420,29.028180,41.107132,29.028498,83.444908
41.099670,29.022530,41.099618,29.022887,30.572061
41.106360,29.027990,41.106147,29.027762,30.490296
41.106590,29.021560,41.107085,29.021750,57.249069
41.105430,29.022810,41.105647,29.022616,29.081123
41.104590,29.019940,41.104782,29.020595,58.993164
41.105140,29.025920,41.105415,29.026809,80.693713
41.108030,29.028270,41.103442,29.024560,597.314976
41.099890,29.022150,41.099146,29.024181,189.573039
41.105220,29.026770,41.105173,29.026474,25.427642
41.105210,29.022870,41.104206,29.022658,112.940827
41.107980,29.021180,41.108053,29.020971,19.299428
41.099740,29.022400,41.099874,29.022701,29.338574
41.107280,29.022600,41.107419,29.021636,82.403427
41.105340,29.027530,41.105485,29.026728,69.238159
41.099350,29.026990,41.103442,29.024560,498.171386
41.107330,29.018430,41.106950,29.017119,117.907175
41.108070,29.028640,41.108162,29.028959,28.663918
41.098940,29.025040,41.103442,29.024560,501.571276
41.104710,29.023030,41.104431,29.022882,33.361067
41.107680,29.022310,41.107713,29.022057,21.595654
41.104950,29.024960,41.104882,29.024890,9.607032
41.107200,29.028990,41.107330,29.029163,20.461148
41.107540,29.023080,41.107645,29.023244,18.076621
41.107820,29.020260,41.107755,29.020120,13.821442
41.107780,29.024070,41.107670,29.023692,34.045596
41.107840,29.024780,41.103442,29.024560,488.803058
41.099070,29.024800,41.099036,29.024871,7.087454
41.107880,29.026320,41.107562,29.025880,51.094952
41.105250,29.026960,41.105246,29.026603,30.009584
41.106920,29.021500,41.106914,29.021466,2.953946
41.107080,29.017080,41.106414,29.015728,135.501026
41.106190,29.021600,41.105987,29.021003,54.998658
41.105240,29.026910,41.105250,29.026577,27.981482
41.104980,29.019850,41.103442,29.024560,430.927662
41.105940,29.022700,41.103442,29.024560,318.399579
41.107780,29.020070,41.107316,29.020059,51.520131
41.107180,29.022550,41.103442,29.024560,448.163887
41.105880,29.022710,41.103442,29.024560,312.191503
41.105140,29.026250,41.105129,29.025976,23.043611
41.104870,29.024230,41.105005,29.024189,15.379447
41.101280,29.019010,41.103442,29.024560,524.379152
41.107860,29.026610,41.107958,29.027025,36.526714
41.107640,29.022440,41.107632,29.022346,7.916443
41.103250,29.017320,41.103527,29.017349,30.888861
41.108040,29.028010,41.103442,29.024560,587.180672
41.103360,29.017250,41.103633,29.017741,51.167998
41.099810,29.030680,41.103442,29.024560,653.467945
41.107220,29.029220,41.107458,29.029142,27.200486
41.103310,29.017290,41.103572,29.017436,31.558006
41.104900,29.024650,41.104859,29.024813,14.443458
41.101260,29.019130,41.100663,29.019567,75.758167
41.107820,29.025980,41.107899,29.026006,9.076383
41.107810,29.026110,41.107816,29.025928,15.270303
41.105040,29.025250,41.103442,29.024560,186.729768
41.099120,29.026440,41.103442,29.024560,505.281661
41.104430,29.020590,41.104640,29.020619,23.416536
41.102630,29.017680,41.103468,29.017143,103.378793
41.105760,29.020790,41.105805,29.020965,15.515339
41.106290,29.027730,41.106236,29.027713,6.156617
41.101370,29.018800,41.100998,29.019198,53.118036
41.099540,29.029360,41.103442,29.024560,591.927729
41.103880,29.016830,41.103320,29.017425,79.819978
41.107590,29.023360,41.107782,29.024000,57.794997
41.104980,29.024860,41.104899,29.025106,22.512975
41.107600,29.019360,41.103442,29.024560,635.632197
41.105650,29.015350,41.103442,29.024560,811.567356
41.107860,29.025260,41.103442,29.024560,494.187982
41.104370,29.020030,41.103857,29.020106,57.295263
41.104790,29.023890,41.104559,29.024088,30.551947
41.099890,29.027970,41.103442,29.024560,487.506111
41.107640,29.022770,41.107496,29.023279,45.684578
41.107440,29.021860,41.106893,29.022420,76.769147
41.107810,29.025550,41.103442,29.024560,492.202345
41.107840,29.025070,41.108045,29.025142,23.533689
41.099850,29.030960,41.103442,29.024560,669.475189
41.105050,29.025620,41.105334,29.026110,51.855809
41.107530,29.023100,41.103442,29.024560,470.288972
41.103990,29.016730,41.103875,29.017325,51.577889
41.107320,29.018380,41.103442,29.024560,674.510284
41.105180,29.022880,41.104851,29.022878,36.514035
41.103710,29.016950,41.103079,29.017182,72.687581
41.102370,29.017840,41.103442,29.024560,576.887998
41.104510,29.019970,41.103442,29.024560,403.380980
41.107860,29.027360,41.107131,29.027933,94.150899
41.107810,29.026170,41.103442,29.024560,503.627809
41.105690,29.022750,41.103442,29.024560,292.315989
41.099740,29.030380,41.103442,29.024560,638.805269
41.102800,29.017590,41.102852,29.017595,5.805455
41.107880,29.020750,41.103442,29.024560,587.666373
41.104470,29.020830,41.103442,29.024560,333.460864
41.104840,29.022970,41.104677,29.022928,18.420281
41.104930,29.022940,41.104818,29.022298,55.330488
41.107940,29.027240,41.103442,29.024560,547.952966
41.105550,29.027750,41.105686,29.027272,42.846521
41.101660,29.018410,41.102308,29.017328,115.908888
41.107870,29.022390,41.107855,29.022208,15.363330
41.108020,29.028210,41.108208,29.028556,35.800765
41.106780,29.022510,41.103442,29.024560,408.761195
41.105870,29.027800,41.105932,29.027876,9.382002
41.101510,29.018600,41.100718,29.020937,215.117168
41.099420,29.027210,41.098651,29.027712,95.232422
41.104840,29.015990,41.104077,29.016954,117.212008
41.106030,29.021510,41.105764,29.020881,60.545008
41.106910,29.021510,41.106914,29.021466,3.743460
41.105540,29.020140,41.105473,29.020111,7.774644
41.107240,29.026290,41.103442,29.024560,446.160163
41.106320,29.026440,41.106392,29.026439,7.946661
41.105120,29.025820,41.105356,29.027523,145.393303
41.106190,29.027880,41.105984,29.027721,26.447312
41.105980,29.021470,41.105832,29.021099,35.209455
41.105160,29.026120,41.105287,29.026449,31.038777
41.105580,29.020230,41.103442,29.024560,434.356575
41.107740,29.023930,41.107670,29.023692,21.475059
41.104540,29.016260,41.104245,29.015814,49.741972
41.106250,29.026450,41.106064,29.026202,29.326380
41.107640,29.023590,41.103442,29.024560,473.301926
41.099220,29.023940,41.103442,29.024560,471.730103
41.107680,29.023710,41.107670,29.023692,1.890570
41.099620,29.029230,41.103442,29.024560,577.987121
41.105020,29.025070,41.105174,29.025950,75.901552
41.104950,29.015890,41.100172,29.021711,721.592715
41.104800,29.024040,41.103442,29.024560,157.030681
41.107140,29.029100,41.106987,29.028749,33.973636
41.108040,29.027940,41.107354,29.027392,89.005195
41.106340,29.027710,41.106355,29.027669,3.860246
41.107900,29.026450,41.107677,29.026326,26.825197
41.106590,29.022550,41.107157,29.021590,102.336960
41.099530,29.029700,41.103442,29.024560,612.530680
41.104560,29.016240,41.104636,29.015917,28.405194
41.107490,29.022920,41.107689,29.022291,57.246524
41.104750,29.023390,41.104529,29.023479,25.697855
41.100950,29.020370,41.101041,29.021149,66.252292
41.107730,29.023890,41.107670,29.023692,17.941607
41.105440,29.027660,41.106063,29.027544,69.895281
41.106230,29.015560,41.106150,29.016072,43.954143
41.107910,29.022320,41.107562,29.022588,44.693657
41.103160,29.017380,41.103442,29.024560,603.925403
41.099150,29.026510,41.098847,29.025806,68.046010
41.106270,29.027980,41.106527,29.027693,37.361568
41.104530,29.021480,41.103442,29.024560,285.535151
41.106310,29.027930,41.106072,29.027865,26.945736
41.107610,29.023410,41.107418,29.023899,46.276445
