RSRP_PCI3,RSRP_PCI13,RSRP_PCI23,RSRP_PCI30,RSRP_PCI40,RSRP_PCI48,RSRP_PCI59,RSRP_PCI68,RSRP_PCI76,RSRQ_PCI3,RSRQ_PCI13,RSRQ_PCI23,RSRQ_PCI30,RSRQ_PCI40,RSRQ_PCI48,RSRQ_PCI59,RSRQ_PCI68,RSRQ_PCI76,SINR_Serving,TA_Serving,Latitude,Longitude
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.10786,29.02614
-140.0,-140.0,-140.0,-140.0,-70.6,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,30.3,0.0,41.10654,29.02157
-140.0,-140.0,-140.0,-140.0,-76.9,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,27.8,0.0,41.1066,29.02156
-140.0,-140.0,-79.6,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,24.7,0.0,41.10553,29.02012
-140.0,-140.0,-93.5,-140.0,-76.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-21.4,-30.0,-10.5,-30.0,-30.0,-30.0,-30.0,23.0,0.0,41.1064,29.02161
-143.8,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.9,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-18.0,0.0,41.0991,29.02663
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.09969,29.02751
-140.0,-140.0,-140.0,-103.0,-140.0,-140.0,-98.0,-140.0,-97.3,-30.0,-30.0,-30.0,-19.0,-30.0,-30.0,-13.9,-30.0,-12.9,3.0,0.0,41.10764,29.02621
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-147.7,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-34.9,-30.0,-17.2,0.0,41.09926,29.0268
-140.0,-128.1,-140.0,-140.0,-128.2,-140.0,-140.0,-125.2,-140.0,-30.0,-19.0,-30.0,-30.0,-19.4,-30.0,-30.0,-16.4,-30.0,-8.5,0.0,41.10453,29.01627
-140.0,-140.0,-140.0,-140.0,-140.0,-87.1,-140.0,-140.0,-89.3,-30.0,-30.0,-30.0,-30.0,-30.0,-11.6,-30.0,-30.0,-12.5,6.5,0.0,41.1073,29.02906
-140.0,-140.0,-140.0,-88.0,-82.7,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-16.3,-11.0,-30.0,-30.0,-30.0,-30.0,10.9,0.0,41.10761,29.02203
-140.0,-140.0,-140.0,-119.2,-119.2,-140.0,-140.0,-121.2,-120.6,-30.0,-30.0,-30.0,-16.3,-16.4,-30.0,-30.0,-18.8,-17.5,-7.5,0.0,41.10693,29.01666
