Message,Time,Longitude,Latitude,Technology_Mode,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_PCI_4,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRP_4,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Nbr_RSRQ_4,NR_UE_Timing_Advance,NR_UE_Pathloss_DL_0,NR_UE_Throughput_PDCP_DL,App_Throughput_DL,NR_UE_NACK_Rate_DL_0,NR_UE_Ack_As_Nack_DL_0,NR_UE_MCS_DL_0,NR_UE_RB_Num_DL_0,NR_UE_Modulation_Avg_DL_0,NR_UE_RI_DL_0,NR_UE_BLER_DL_0,NR_UE_CCE_AggregationLev_0,NR_UE_Power_Tx_PUSCH_0,NR_UE_Power_Tx_PRACH_0,NR_UE_NACK_Rate_UL_0,NR_UE_RACH_Attempt,NR_UE_RACH_OK,NR_UE_RACH_Fail,NR_UE_RACH_Procedure_Count,NR_UE_RRCReEstAttempt,NR_UE_RRCReEstFail,NR_UE_RRCReEst_EndResult,NR_UE_RRCConnectionAttempt,NR_UE_RRCConnectionSetupOk,Unnamed: 48,NR_UE_RRCConnectionComplete,NR_UE_RRCConnectionDrop,NR_UE_RRCHOAttempt,NR_UE_RRCHOOK,NR_RRC_MsgType,NAS_5GS_MM_MessageType,NAS_5GS_SM_MessageType,Time_Numeric
0,2025-03-14 12:14:33,,,5GSA,48,-86.6694327431607,-11.1537388807961,7.23567657963452,76,,,,,-95.5230811583848,,,,,-15.8147739861026,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.127
2,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.6694327431607,-11.1607862356021,7.23567657963452,76,,,,,-96.6597525277404,,,,,-16.1444231139007,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
3,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.6694327431607,-11.1607862356021,7.23567657963452,76,,,,,-96.6597525277404,,,,,-16.1444231139007,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
4,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.6694327431607,-11.1607862356021,7.23567657963452,76,,,,,-96.6597525277404,,,,,-16.1444231139007,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
5,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.6694327431607,-11.1607862356021,7.23567657963452,76,,,,,-96.6597525277404,,,,,-16.1444231139007,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
1,2025-03-14 12:14:33,,,5GSA,48,-87.1,-11.2,7.3,76,,,,,-97.3,,,,,-16.3,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
6,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.9772727272727,-11.1909090909091,7.28181818181818,76,,,,,-97.2818181818182,,,,,-16.2909090909091,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474
7,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.8545454545454,-11.1818181818182,7.26363636363636,76,,,,,-97.2636363636364,,,,,-16.2818181818182,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474
8,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.7318181818182,-11.1727272727273,7.24545454545455,76,,,,,-97.2454545454546,,,,,-16.2727272727273,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474.013
9,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.6090909090909,-11.1636363636364,7.22727272727273,76,,,,,-97.2272727272727,,,,,-16.2636363636364,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474.013
