Message,Time,Longitude,Latitude,NR_Scan_NR_ARFCN,NR_Scan_PCI_SortedBy_RSRP_0,NR_Scan_PCI_SortedBy_RSRP_1,NR_Scan_PCI_SortedBy_RSRP_2,NR_Scan_PCI_SortedBy_RSRP_3,NR_Scan_PCI_SortedBy_RSRP_4,NR_Scan_PCI_SortedBy_RSRP_5,NR_Scan_PCI_SortedBy_RSRP_6,NR_Scan_SSB_RSRP_SortedBy_RSRP_0,NR_Scan_SSB_RSRP_SortedBy_RSRP_1,NR_Scan_SSB_RSRP_SortedBy_RSRP_2,NR_Scan_SSB_RSRP_SortedBy_RSRP_3,NR_Scan_SSB_RSRP_SortedBy_RSRP_4,NR_Scan_SSB_RSRP_SortedBy_RSRP_5,NR_Scan_SSB_RSRP_SortedBy_RSRP_6,NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,NR_Scan_SSB_RSRQ_SortedBy_RSRP_3,NR_Scan_SSB_RSRQ_SortedBy_RSRP_4,NR_Scan_SSB_RSRQ_SortedBy_RSRP_5,NR_Scan_SSB_RSRQ_SortedBy_RSRP_6,NR_Scan_SSB_SINR_SortedBy_RSRP_0,NR_Scan_SSB_SINR_SortedBy_RSRP_1,NR_Scan_SSB_SINR_SortedBy_RSRP_2,NR_Scan_SSB_SINR_SortedBy_RSRP_3,NR_Scan_SSB_SINR_SortedBy_RSRP_4,NR_Scan_SSB_SINR_SortedBy_RSRP_5,NR_Scan_SSB_SINR_SortedBy_RSRP_6,Time_Numeric
0,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.955
1,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.955
2,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.955
3,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.966
4,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.966
5,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.966
6,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.966
7,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.966
8,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.966
9,2025-03-14 12:14:32,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.879271808978,-91.6906695961216,-103.992706677672,-108.571270536275,-110.730080933373,-112.700347818914,-109.579369654162,-17.7747915377113,-20.8330067830024,-32.1414731729423,-35.195910545844,-37.4539163297074,-38.0821474065256,-33.7191743255488,-5.94003051157688,-9.61093422192706,-21.9793356950296,-24.577012655546,-30.9190406436942,-35.7057669669196,-24.1179805073031,1741954472.966
