loc_id,true_lon,true_lat,num_rows,DL_lon,DL_lat,UL_lon,UL_lat,Scanner_lon,Scanner_lat,fused_lon,fused_lat,error_meters
4,29.029490,41.107230,554,29.029449,41.107216,29.025604,41.106941,29.029251,41.107258,29.028221,41.107140,106.784336
5,29.029470,41.107220,71,29.029406,41.107216,29.024000,41.107174,29.029264,41.107315,29.027700,41.107220,148.260753
6,29.029440,41.107240,72,29.029406,41.107216,29.024000,41.107174,29.029264,41.107315,29.027700,41.107220,145.764716
7,29.029410,41.107250,72,29.029354,41.107269,29.021620,41.107304,29.029221,41.107216,29.026928,41.107273,207.970029
8,29.029380,41.107270,62,29.029354,41.107269,29.021620,41.107304,29.029221,41.107216,29.026928,41.107273,205.440927
9,29.029360,41.107270,6,29.029354,41.107269,29.021620,41.107304,29.029221,41.107216,29.026928,41.107273,203.765266
12,29.029340,41.107280,72,29.029278,41.107216,29.023815,41.107307,29.029219,41.107220,29.027567,41.107246,148.602077
13,29.029300,41.107270,62,29.029278,41.107235,29.024513,41.107269,29.029263,41.107224,29.027790,41.107243,126.543479
14,29.029270,41.107260,6,29.029278,41.107235,29.024513,41.107269,29.029263,41.107224,29.027790,41.107243,124.008390
17,29.029250,41.107250,64,29.029152,41.107185,29.023350,41.107323,29.029205,41.107246,29.027351,41.107239,159.077380
18,29.029240,41.107240,6,29.029152,41.107185,29.023350,41.107323,29.029205,41.107246,29.027351,41.107239,158.234717
21,29.029220,41.107220,62,29.029116,41.107307,29.022705,41.107430,29.029219,41.107300,29.027134,41.107346,175.333454
22,29.029190,41.107200,7,29.029116,41.107307,29.022705,41.107430,29.029219,41.107300,29.027134,41.107346,173.021969
25,29.029170,41.107180,72,29.029085,41.107121,29.025301,41.107468,29.029112,41.107250,29.027912,41.107254,105.708553
26,29.029100,41.107140,60,29.029091,41.107098,29.022182,41.107521,29.029078,41.107212,29.026937,41.107250,181.596546
27,29.029070,41.107120,7,29.029091,41.107098,29.022182,41.107521,29.029078,41.107212,29.026937,41.107250,179.254801
30,29.029040,41.107090,64,29.029062,41.107281,29.022369,41.107452,29.028915,41.107075,29.026955,41.107304,176.324597
31,29.029000,41.107060,6,29.029062,41.107281,29.022369,41.107452,29.028915,41.107075,29.026955,41.107304,173.493922
34,29.028970,41.107030,68,29.029104,41.107071,29.022617,41.107418,29.028866,41.107010,29.027048,41.107170,161.774215
35,29.028880,41.106970,71,29.028748,41.106873,29.024284,41.107342,29.028738,41.106956,29.027355,41.107033,127.944124
36,29.028800,41.106900,70,29.028748,41.106873,29.024284,41.107342,29.028738,41.106956,29.027355,41.107033,121.947974
37,29.028730,41.106840,70,29.027735,41.105598,29.021887,41.105583,29.028605,41.106846,29.026043,41.105782,254.041392
38,29.028660,41.106790,59,29.027735,41.105598,29.021887,41.105583,29.028605,41.106846,29.026043,41.105782,246.278099
39,29.028620,41.106760,48,29.027735,41.105598,29.021887,41.105583,29.028605,41.106846,29.026043,41.105782,241.779763
42,29.028580,41.106730,54,29.028406,41.106670,29.022192,41.106506,29.028410,41.106667,29.026468,41.106617,177.374229
43,29.028510,41.106680,70,29.028399,41.106579,29.021732,41.106762,29.028509,41.106674,29.026340,41.106655,181.791552
44,29.028480,41.106650,6,29.028399,41.106579,29.021732,41.106762,29.028509,41.106674,29.026340,41.106655,179.257929
47,29.028450,41.106630,64,29.028513,41.106731,29.021620,41.106995,29.028364,41.106571,29.026344,41.106789,177.303376
