loc_id,true_lon,true_lat,num_rows,DL_lon,DL_lat,UL_lon,UL_lat,Scanner_lon,Scanner_lat,fused_lon,fused_lat,error_meters
3,29.029490,41.107230,558,29.029453,41.107304,,,29.023823,41.106567,29.028229,41.107147,106.070984
4,29.029470,41.107220,71,29.029455,41.107204,,,29.023960,41.106739,29.028259,41.107105,102.237601
5,29.029440,41.107240,72,29.029455,41.107204,,,29.023960,41.106739,29.028259,41.107105,100.053020
6,29.029410,41.107250,72,29.029337,41.107258,,,29.029202,41.107220,29.029310,41.107250,8.359379
7,29.029380,41.107270,63,29.029337,41.107258,,,29.023932,41.107010,29.028164,41.107208,102.118992
8,29.029360,41.107270,9,29.029327,41.107235,,,29.023922,41.106976,29.028154,41.107178,101.530963
9,29.029340,41.107280,72,29.029327,41.107235,,,29.023922,41.106976,29.028154,41.107178,99.984365
10,29.029300,41.107270,63,29.029274,41.107212,,,29.029264,41.107216,29.029274,41.107212,6.800594
11,29.029270,41.107260,8,29.029274,41.107212,,,29.029264,41.107216,29.029274,41.107212,5.340402
12,29.029250,41.107250,65,29.029276,41.107216,,,29.029276,41.107224,29.029280,41.107220,4.189290
13,29.029240,41.107240,9,29.029184,41.107193,,,29.029213,41.107235,29.029192,41.107204,5.641821
14,29.029220,41.107220,63,29.029184,41.107193,,,29.029213,41.107235,29.029192,41.107204,2.917103
15,29.029190,41.107200,9,29.029148,41.107189,,,29.029118,41.107254,29.029144,41.107208,3.938356
16,29.029170,41.107180,72,29.029148,41.107189,,,29.026720,41.107311,29.028622,41.107216,46.113493
17,29.029100,41.107140,61,29.029089,41.107136,,,29.029079,41.107140,29.029089,41.107140,0.924933
18,29.029070,41.107120,9,29.029089,41.107136,,,29.029079,41.107140,29.029089,41.107140,2.696466
19,29.029040,41.107090,65,29.029066,41.107147,,,29.029001,41.107079,29.029055,41.107132,4.824099
20,29.029000,41.107060,9,29.029066,41.107048,,,29.028858,41.106998,29.029022,41.107037,3.200073
21,29.028970,41.107030,68,29.029066,41.107048,,,29.028858,41.106998,29.029022,41.107037,4.435858
22,29.028880,41.106970,71,29.028795,41.106899,,,29.028761,41.106964,29.028791,41.106915,9.650248
23,29.028800,41.106900,70,29.028795,41.106899,,,29.028761,41.106964,29.028791,41.106915,1.767121
24,29.028730,41.106840,70,29.026451,41.105602,,,29.028721,41.106827,29.026945,41.105873,184.181950
25,29.028660,41.106790,60,29.026451,41.105602,,,29.026392,41.106834,29.026438,41.105873,212.275536
26,29.028620,41.106760,50,29.026451,41.105602,,,29.026392,41.106834,29.026438,41.105873,207.738046
27,29.028580,41.106730,54,29.028494,41.106731,,,29.028482,41.106686,29.028494,41.106724,7.248377
28,29.028510,41.106680,71,29.028437,41.106743,,,29.026793,41.106701,29.028080,41.106735,36.547848
29,29.028480,41.106650,8,29.028437,41.106743,,,29.026793,41.106701,29.028080,41.106735,34.828852
30,29.028450,41.106630,65,29.028547,41.107185,,,29.028349,41.106567,29.028505,41.107052,47.135984
31,29.028410,41.106600,8,29.028439,41.106613,,,29.028337,41.106567,29.028418,41.106606,0.884414
32,29.028380,41.106570,71,29.028439,41.106613,,,29.022207,41.106491,29.027082,41.106586,108.729938
33,29.028330,41.106530,65,29.028322,41.106583,,,29.028320,41.106491,29.028324,41.106564,3.764896
34,29.028300,41.106510,8,29.028316,41.106487,,,29.028366,41.106510,29.028330,41.106495,3.012029
35,29.028280,41.106490,64,29.028316,41.106487,,,29.028366,41.106510,29.028330,41.106495,4.212017
36,29.028260,41.106480,8,29.028316,41.106487,,,29.028366,41.106510,29.028330,41.106495,6.082372
37,29.028230,41.106460,68,29.028315,41.106480,,,29.028292,41.106461,29.028311,41.106480,7.111524
38,29.028210,41.106440,8,29.028141,41.106426,,,29.028133,41.106411,29.028143,41.106422,5.949622
39,29.028180,41.106420,73,29.028124,41.106400,,,29.028038,41.106400,29.028107,41.106400,6.550211
40,29.028130,41.106370,72,29.027988,41.106319,,,29.028000,41.106335,29.027992,41.106327,12.490212
41,29.028050,41.106320,31,29.027988,41.106319,,,29.028000,41.106335,29.027992,41.106327,4.901883
42,29.028020,41.106300,40,29.027988,41.106319,,,29.028000,41.106335,29.027992,41.106327,3.802351
43,29.027980,41.106270,31,29.027954,41.106304,,,29.027842,41.106216,29.027931,41.106289,4.596675
44,29.027950,41.106250,40,29.027935,41.106251,,,29.027903,41.106194,29.027927,41.106239,2.235280
45,29.027920,41.106230,72,29.027935,41.106239,,,29.027872,41.106167,29.027924,41.106224,0.725547
46,29.027880,41.106190,68,29.023621,41.105442,,,29.027002,41.106201,29.024357,41.105610,302.153104
47,29.027840,41.106170,31,29.023621,41.105469,,,29.026663,41.106388,29.024284,41.105671,303.033237
48,29.027820,41.106160,39,29.023621,41.105381,,,29.026928,41.106163,29.024342,41.105553,299.160838
49,29.027810,41.106140,31,29.023621,41.105381,,,29.026928,41.106163,29.024342,41.105553,297.849205
50,29.027790,41.106130,33,29.023621,41.104568,,,29.026884,41.106163,29.024332,41.104919,319.469341
51,29.027780,41.106120,37,29.023621,41.104568,,,29.026884,41.106163,29.024332,41.104919,318.241667
52,29.027780,41.106100,40,29.023621,41.105457,,,29.026785,41.106148,29.024311,41.105610,295.709637
53,29.027770,41.106090,69,29.023621,41.105457,,,29.026785,41.106148,29.024311,41.105610,294.682730
54,29.027770,41.106050,69,29.023621,41.104729,,,29.027790,41.106022,29.024530,41.105015,294.829430
55,29.027770,41.106010,64,29.023621,41.104908,,,29.027763,41.105953,29.024523,41.105141,288.730773
56,29.027780,41.105960,37,29.023621,41.104908,,,29.027763,41.105953,29.024523,41.105141,287.711991
57,29.027790,41.105930,39,29.023621,41.104908,,,29.027763,41.105953,29.024523,41.105141,287.470957
58,29.027790,41.105900,32,29.023621,41.104710,,,29.027781,41.105904,29.024527,41.104973,292.216386
59,29.027800,41.105870,42,29.023621,41.104710,,,29.027781,41.105904,29.024527,41.104973,291.843521
60,29.027810,41.105840,63,29.023621,41.105473,,,29.027691,41.105747,29.024508,41.105537,278.736759
61,29.027810,41.105770,37,29.023621,41.105473,,,29.026731,41.105873,29.024300,41.105564,295.007357
62,29.027810,41.105740,40,29.023621,41.105473,,,29.026731,41.105873,29.024300,41.105564,294.767319
63,29.027810,41.105710,31,29.027742,41.105560,,,29.022524,41.105679,29.026609,41.105587,101.516257
64,29.027810,41.105670,40,29.027742,41.105560,,,29.022524,41.105679,29.026609,41.105587,101.013267
65,29.027800,41.105640,33,29.027756,41.105621,,,29.023922,41.105705,29.026922,41.105640,73.544515
66,29.027780,41.105610,40,29.027756,41.105621,,,29.023922,41.105705,29.026922,41.105640,71.948324
67,29.027770,41.105580,32,29.027746,41.105556,,,29.020863,41.105549,29.026247,41.105556,127.629770
68,29.027750,41.105550,41,29.027693,41.105534,,,29.021055,41.105850,29.026251,41.105606,125.762337
69,29.027730,41.105520,74,29.027693,41.105534,,,29.021055,41.105850,29.026251,41.105606,124.301038
70,29.027690,41.105460,24,29.025869,41.105858,,,29.021196,41.105564,29.024853,41.105797,240.651605
71,29.027660,41.105440,87,29.026180,41.105221,,,29.021196,41.105572,29.025097,41.105301,215.307623
72,29.027640,41.105420,50,29.026180,41.105221,,,29.021196,41.105572,29.025097,41.105301,213.486824
73,29.027580,41.105380,43,29.027351,41.105297,,,29.020012,41.105576,29.025757,41.105362,152.768049
74,29.027550,41.105360,34,29.027102,41.105259,,,29.019888,41.105629,29.025534,41.105339,168.954966
75,29.027530,41.105340,77,29.027102,41.105259,,,29.019888,41.105629,29.025534,41.105339,167.263252
76,29.027460,41.105320,29,29.023621,41.105400,,,29.021198,41.105442,29.023092,41.105412,366.094300
77,29.027430,41.105310,33,29.023621,41.105404,,,29.021536,41.105560,29.023169,41.105442,357.348624
78,29.027400,41.105300,38,29.023621,41.105404,,,29.021536,41.105560,29.023169,41.105442,354.884973
79,29.027360,41.105300,40,29.023621,41.105408,,,29.020357,41.105602,29.022913,41.105450,372.967701
80,29.027320,41.105290,62,29.023621,41.104561,,,29.019863,41.105698,29.022804,41.104809,382.120328
81,29.027230,41.105280,38,29.023621,41.104561,,,29.019863,41.105698,29.022804,41.104809,374.498211
82,29.027180,41.105280,33,29.023621,41.104565,,,29.021116,41.105392,29.023077,41.104748,348.830003
83,29.027130,41.105270,71,29.023621,41.105469,,,29.021116,41.105499,29.023077,41.105476,340.356508
84,29.027050,41.105260,38,29.023621,41.105469,,,29.021116,41.105499,29.023077,41.105476,333.747566
85,29.027000,41.105250,32,29.023621,41.105492,,,29.021116,41.105499,29.023077,41.105495,329.821076
86,29.026960,41.105250,38,29.023621,41.105492,,,29.021244,41.105499,29.023104,41.105495,324.251834
87,29.026910,41.105240,33,29.023621,41.105492,,,29.021244,41.105492,29.023104,41.105495,320.174374
88,29.026860,41.105240,39,29.023621,41.105492,,,29.021244,41.105492,29.023104,41.105495,316.001833
89,29.026810,41.105230,33,29.023621,41.105492,,,29.021244,41.105492,29.023104,41.105495,311.933019
90,29.026770,41.105220,69,29.023621,41.105419,,,29.021244,41.105480,29.023104,41.105434,308.105955
91,29.026680,41.105210,70,29.023621,41.105419,,,29.021116,41.105320,29.023077,41.105400,302.617844
92,29.026590,41.105190,37,29.023621,41.105419,,,29.021116,41.105320,29.023077,41.105400,295.263686
93,29.026540,41.105190,33,29.023621,41.105423,,,29.021116,41.105473,29.023077,41.105434,291.418862
94,29.026490,41.105180,71,29.023621,41.105392,,,29.021236,41.105473,29.023104,41.105412,284.887891
95,29.026390,41.105170,72,29.023621,41.105392,,,29.021236,41.105473,29.023104,41.105412,276.650395
96,29.026300,41.105150,38,29.023621,41.104568,,,29.021116,41.105473,29.023077,41.104771,273.316127
97,29.026250,41.105140,32,29.023621,41.105442,,,29.021116,41.105320,29.023077,41.105419,267.657123
98,29.026200,41.105130,66,29.023621,41.105446,,,29.020496,41.105312,29.022942,41.105419,274.895064
99,29.026080,41.105120,38,29.023621,41.105446,,,29.020496,41.105312,29.022942,41.105419,265.049680
100,29.026030,41.105110,31,29.023621,41.105446,,,29.020496,41.105312,29.022942,41.105419,261.038176
101,29.025980,41.105100,70,29.023621,41.104687,,,29.021214,41.105247,29.023098,41.104813,243.577409
102,29.025880,41.105090,38,29.023621,41.104687,,,29.021116,41.105415,29.023077,41.104851,236.353206
103,29.025830,41.105080,31,29.026003,41.105125,,,29.021719,41.105034,29.025074,41.105106,63.409481
104,29.025780,41.105080,69,29.025967,41.105122,,,29.022066,41.105942,29.025120,41.105301,60.525373
105,29.025680,41.105060,46,29.025967,41.105122,,,29.021116,41.105431,29.024914,41.105190,65.811866
106,29.025620,41.105050,26,29.026075,41.105183,,,29.021116,41.105419,29.025000,41.105236,55.944961
107,29.025560,41.105040,73,29.026075,41.105183,,,29.021116,41.105419,29.025000,41.105236,51.766220
108,29.025440,41.105020,40,29.023621,41.104588,,,29.023594,41.105125,29.023615,41.104710,156.765731
109,29.025380,41.105010,33,29.023621,41.104588,,,29.023794,41.105129,29.023659,41.104710,148.034003
110,29.025320,41.105000,69,29.023621,41.104588,,,29.025070,41.104927,29.023935,41.104664,121.889941
111,29.025200,41.104990,45,29.023621,41.104588,,,29.025070,41.104927,29.023935,41.104664,111.997332
112,29.025140,41.104980,27,29.023621,41.104588,,,29.025070,41.104927,29.023935,41.104664,106.882510
113,29.025080,41.104970,44,29.023621,41.104584,,,29.024900,41.104988,29.023901,41.104675,104.078751
114,29.025020,41.104960,29,29.023621,41.104893,,,29.024265,41.105091,29.023762,41.104939,105.451022
115,29.024960,41.104950,70,29.023621,41.104897,,,29.024837,41.104961,29.023886,41.104916,90.090338
116,29.024850,41.104930,37,29.023621,41.104897,,,29.024837,41.104961,29.023886,41.104916,80.808548
117,29.024800,41.104920,32,29.023621,41.104912,,,29.024307,41.104980,29.023769,41.104931,86.360257
118,29.024740,41.104910,70,29.023621,41.104912,,,29.024240,41.104939,29.023754,41.104919,82.609766
119,29.024650,41.104900,38,29.023623,41.104935,,,29.024439,41.104893,29.023802,41.104931,71.150007
120,29.024600,41.104890,35,29.024336,41.104790,,,29.024553,41.104897,29.024384,41.104816,19.895300
121,29.024550,41.104890,46,29.024336,41.104790,,,29.024553,41.104897,29.024384,41.104816,16.168456
122,29.024510,41.104880,26,29.024355,41.104794,,,29.024014,41.105675,29.024282,41.104988,22.537896
123,29.024460,41.104870,67,29.024355,41.104794,,,29.024014,41.105675,29.024282,41.104988,19.842777
124,29.024370,41.104870,51,29.024313,41.104881,,,29.024302,41.104881,29.024311,41.104885,5.215589
125,29.024330,41.104860,30,29.024313,41.104881,,,29.024302,41.104881,29.024311,41.104885,3.210488
126,29.024280,41.104850,70,29.024206,41.104881,,,29.024263,41.104881,29.024221,41.104885,6.270906
127,29.024180,41.104830,71,29.024157,41.105061,,,29.024162,41.105522,29.024160,41.105164,37.128152
128,29.024090,41.104810,48,29.024179,41.104889,,,29.023989,41.105598,29.024141,41.105045,26.517070
129,29.024040,41.104800,26,29.024179,41.104889,,,29.023989,41.105598,29.024141,41.105045,28.568412
130,29.023990,41.104790,72,29.023966,41.104786,,,29.024084,41.104824,29.023993,41.104794,0.448255
131,29.023890,41.104780,71,29.023905,41.104813,,,29.023727,41.105080,29.023869,41.104874,10.567993
132,29.023770,41.104770,48,29.023746,41.104774,,,29.021845,41.104572,29.023336,41.104733,36.567237
133,29.023710,41.104760,28,29.023708,41.104790,,,29.022562,41.104542,29.023462,41.104740,20.871381
134,29.023650,41.104760,70,29.023708,41.104790,,,29.022562,41.104542,29.023462,41.104740,15.881317
135,29.023530,41.104750,55,29.023664,41.104851,,,29.023426,41.104771,29.023615,41.104836,11.873896
136,29.023480,41.104740,24,29.023664,41.104851,,,29.023426,41.104771,29.023615,41.104836,15.508422
137,29.023430,41.104740,76,29.023367,41.104767,,,29.023367,41.101547,29.023369,41.104069,74.814645
138,29.023350,41.104740,55,29.023367,41.104767,,,29.023367,41.101547,29.023369,41.104069,74.655598
139,29.023310,41.104740,21,29.023361,41.104774,,,29.023212,41.104752,29.023329,41.104771,3.754920
140,29.023280,41.104740,52,29.023361,41.104774,,,29.023212,41.104752,29.023329,41.104771,5.322438
141,29.023250,41.104740,23,29.023361,41.104774,,,29.023212,41.104752,29.023329,41.104771,7.429236
142,29.023220,41.104740,74,29.023216,41.104786,,,29.018309,41.104542,29.022150,41.104733,89.651971
143,29.023170,41.104730,53,29.023216,41.104786,,,29.018309,41.104542,29.022150,41.104733,85.459251
144,29.023150,41.104730,22,29.022490,41.105011,,,29.023144,41.104744,29.022636,41.104958,49.920856
145,29.023130,41.104720,105,29.022490,41.105011,,,29.023144,41.104744,29.022636,41.104958,49.073377
146,29.023090,41.104720,82,29.023159,41.104759,,,29.022709,41.104599,29.023064,41.104725,2.272799
147,29.023030,41.104710,55,29.022997,41.104767,,,29.022999,41.104755,29.023001,41.104771,7.177495
148,29.023000,41.104710,27,29.022842,41.104797,,,29.022886,41.104721,29.022854,41.104782,14.636576
149,29.022960,41.104700,74,29.022770,41.104656,,,29.021494,41.104820,29.022493,41.104694,39.102916
150,29.022880,41.104700,52,29.022770,41.104656,,,29.021494,41.104820,29.022493,41.104694,32.401039
151,29.022840,41.104690,24,29.022799,41.104736,,,29.022875,41.104675,29.022818,41.104725,4.308693
152,29.022810,41.104690,44,29.022799,41.104736,,,29.022875,41.104675,29.022818,41.104725,3.931007
153,29.022770,41.104680,28,29.022285,41.104652,,,29.022799,41.104710,29.022400,41.104668,31.039500
154,29.022730,41.104680,47,29.022285,41.104652,,,29.022799,41.104710,29.022400,41.104668,27.691712
155,29.022690,41.104670,25,29.022627,41.104755,,,29.022652,41.104664,29.022635,41.104740,9.080287
156,29.022650,41.104660,71,29.022627,41.104755,,,29.022652,41.104664,29.022635,41.104740,9.005533
157,29.022580,41.104660,52,29.022631,41.104671,,,29.021553,41.104549,29.022398,41.104649,15.302246
158,29.022540,41.104650,21,29.022631,41.104671,,,29.021553,41.104549,29.022398,41.104649,11.899134
159,29.022500,41.104650,52,29.022448,41.104641,,,29.022436,41.104618,29.022446,41.104637,4.770540
160,29.022450,41.104640,20,29.022341,41.104610,,,29.022482,41.104584,29.022373,41.104607,7.428120
161,29.022410,41.104630,78,29.022341,41.104610,,,29.022482,41.104584,29.022373,41.104607,4.032500
162,29.022320,41.104610,71,29.022692,41.105911,,,29.022572,41.104637,29.022669,41.105637,117.834708
163,29.022240,41.104600,53,29.021021,41.104546,,,29.022572,41.104637,29.021360,41.104568,73.782181
164,29.022200,41.104590,18,29.021116,41.104546,,,29.021763,41.104549,29.021257,41.104549,79.106077
165,29.022170,41.104580,71,29.021116,41.104546,,,29.021763,41.104549,29.021257,41.104549,76.539239
166,29.022100,41.104570,53,29.021214,41.104519,,,29.022617,41.104652,29.021521,41.104549,48.598706
167,29.022070,41.104570,20,29.021757,41.104683,,,29.022617,41.104652,29.021946,41.104679,15.975427
168,29.022040,41.104570,70,29.022015,41.104523,,,29.020063,41.104504,29.021591,41.104519,38.031585
169,29.021990,41.104570,49,29.022015,41.104523,,,29.020063,41.104504,29.021591,41.104519,33.895073
170,29.021960,41.104570,24,29.022015,41.104523,,,29.020063,41.104504,29.021591,41.104519,31.419885
171,29.021930,41.104560,71,29.022041,41.105045,,,29.021727,41.105686,29.021975,41.105186,69.759437
172,29.021880,41.104560,47,29.021463,41.104515,,,29.022591,41.104771,29.021709,41.104572,14.355722
173,29.021850,41.104550,24,29.021463,41.104515,,,29.022591,41.104771,29.021709,41.104572,12.034995
