loc_id,true_lon,true_lat,num_rows,DL_lon,DL_lat,UL_lon,UL_lat,Scanner_lon,Scanner_lat,fused_lon,fused_lat,error_meters
4,29.029490,41.107230,554,29.029459,41.107178,29.024506,41.107037,29.029472,41.107273,29.027918,41.107151,132.011199
5,29.029470,41.107220,71,29.029427,41.107201,29.023933,41.107529,29.029222,41.107300,29.027687,41.107323,149.815069
6,29.029440,41.107240,72,29.029427,41.107201,29.023933,41.107529,29.029222,41.107300,29.027687,41.107323,147.153303
7,29.029410,41.107250,72,29.029358,41.107174,29.023615,41.107513,29.029226,41.107246,29.027550,41.107292,155.928674
8,29.029380,41.107270,62,29.029358,41.107174,29.023615,41.107513,29.029226,41.107246,29.027550,41.107292,153.364441
9,29.029360,41.107270,6,29.029358,41.107174,29.023615,41.107513,29.029226,41.107246,29.027550,41.107292,151.688997
12,29.029340,41.107280,72,29.029354,41.107220,29.023676,41.107483,29.029238,41.107254,29.027567,41.107307,148.586348
13,29.029300,41.107270,62,29.029226,41.107166,29.024593,41.107365,29.029125,41.107311,29.027767,41.107254,128.436667
14,29.029270,41.107260,6,29.029226,41.107166,29.024593,41.107365,29.029125,41.107311,29.027767,41.107254,125.912653
17,29.029250,41.107250,64,29.029209,41.107220,29.023155,41.107464,29.029219,41.107246,29.027325,41.107300,161.404692
18,29.029240,41.107240,6,29.029209,41.107220,29.023155,41.107464,29.029219,41.107246,29.027325,41.107300,160.609565
21,29.029220,41.107220,62,29.029106,41.107265,29.022089,41.107468,29.029207,41.107304,29.026934,41.107334,191.975879
22,29.029190,41.107200,7,29.029106,41.107265,29.022089,41.107468,29.029207,41.107304,29.026934,41.107334,189.629935
25,29.029170,41.107180,72,29.029024,41.107117,29.023125,41.107487,29.029188,41.107281,29.027210,41.107258,164.423354
26,29.029100,41.107140,60,29.029089,41.107170,29.022093,41.107517,29.029074,41.107220,29.026907,41.107288,184.478455
27,29.029070,41.107120,7,29.029089,41.107170,29.022093,41.107517,29.029074,41.107220,29.026907,41.107288,182.190264
30,29.029040,41.107090,64,29.029022,41.107235,29.024485,41.107555,29.028936,41.107086,29.027594,41.107311,123.655040
31,29.029000,41.107060,6,29.029022,41.107235,29.024485,41.107555,29.028936,41.107086,29.027594,41.107311,121.098396
34,29.028970,41.107030,68,29.028978,41.107124,29.023663,41.107479,29.028858,41.106972,29.027304,41.107216,141.130274
35,29.028880,41.106970,71,29.028854,41.106892,29.023405,41.107513,29.028728,41.106937,29.027138,41.107094,146.618974
36,29.028800,41.106900,70,29.028854,41.106892,29.023405,41.107513,29.028728,41.106937,29.027138,41.107094,140.926141
37,29.028730,41.106840,70,29.027052,41.106087,29.024464,41.105560,29.028542,41.106800,29.026472,41.106030,209.547131
38,29.028660,41.106790,59,29.027052,41.106087,29.024464,41.105560,29.028542,41.106800,29.026472,41.106030,201.876723
39,29.028620,41.106760,48,29.027052,41.106087,29.024464,41.105560,29.028542,41.106800,29.026472,41.106030,197.442943
42,29.028580,41.106730,54,29.027990,41.106804,29.022722,41.106548,29.028448,41.106659,29.026421,41.106705,180.945272
43,29.028510,41.106680,70,29.028189,41.106716,29.021286,41.106941,29.028431,41.106762,29.026075,41.106792,204.366078
44,29.028480,41.106650,6,29.028189,41.106716,29.021286,41.106941,29.028431,41.106762,29.026075,41.106792,202.091440
47,29.028450,41.106630,64,29.028368,41.106678,29.021852,41.106922,29.028364,41.106575,29.026337,41.106743,177.507185
48,29.028410,41.106600,6,29.028368,41.106678,29.021852,41.106922,29.028364,41.106575,29.026337,41.106743,174.436513
51,29.028380,41.106570,71,29.028353,41.106567,29.022022,41.106731,29.028294,41.106560,29.026371,41.106621,168.416608
52,29.028330,41.106530,64,29.028214,41.106564,29.023800,41.106644,29.028337,41.106483,29.026859,41.106575,123.324222
53,29.028300,41.106510,6,29.028214,41.106564,29.023800,41.106644,29.028337,41.106483,29.026859,41.106575,120.925381
56,29.028280,41.106490,63,29.028288,41.106544,29.022827,41.106766,29.028364,41.106560,29.026596,41.106617,141.791249
57,29.028260,41.106480,6,29.028288,41.106544,29.022827,41.106766,29.028364,41.106560,29.026596,41.106617,140.240408
60,29.028230,41.106460,67,29.028461,41.106899,29.023668,41.106564,29.028187,41.106468,29.026928,41.106735,113.302640
61,29.028210,41.106440,6,29.028461,41.106899,29.023668,41.106564,29.028187,41.106468,29.026928,41.106735,112.319912
64,29.028180,41.106420,73,29.027908,41.106300,29.024502,41.106342,29.028067,41.106377,29.026873,41.106327,110.023128
65,29.028130,41.106370,72,29.027908,41.106289,29.022100,41.106407,29.027988,41.106354,29.026114,41.106339,168.986532
66,29.028050,41.106320,30,29.027908,41.106289,29.022100,41.106407,29.027988,41.106354,29.026114,41.106339,162.260588
67,29.028020,41.106300,32,29.027908,41.106289,29.022100,41.106407,29.027988,41.106354,29.026114,41.106339,159.791400
69,29.028020,41.106300,8,29.027908,41.106289,29.022100,41.106407,29.027988,41.106354,29.026114,41.106339,159.791400
70,29.027980,41.106270,30,29.027767,41.106270,29.024117,41.106312,29.027899,41.106297,29.026651,41.106285,111.330101
71,29.027950,41.106250,32,29.027767,41.106270,29.024117,41.106312,29.027899,41.106297,29.026651,41.106285,108.873891
73,29.027950,41.106250,8,29.027679,41.106174,29.023701,41.106384,29.027885,41.106277,29.026472,41.106255,123.826781
74,29.027920,41.106230,72,29.027735,41.106300,29.023165,41.106503,29.027868,41.106247,29.026333,41.106354,133.688138
75,29.027880,41.106190,68,29.027735,41.106300,29.023165,41.106503,29.027868,41.106247,29.026333,41.106354,130.899355
76,29.027840,41.106170,30,29.022707,41.105080,29.026741,41.104790,29.027855,41.106266,29.024734,41.105171,282.906496
77,29.027820,41.106160,31,29.022707,41.105080,29.026741,41.104790,29.027855,41.106266,29.024734,41.105171,280.929051
