Message,Time,Longitude,Latitude,NR_Scan_NR_ARFCN,NR_Scan_PCI_SortedBy_RSRP_0,NR_Scan_PCI_SortedBy_RSRP_1,NR_Scan_PCI_SortedBy_RSRP_2,NR_Scan_PCI_SortedBy_RSRP_3,NR_Scan_PCI_SortedBy_RSRP_4,NR_Scan_PCI_SortedBy_RSRP_5,NR_Scan_PCI_SortedBy_RSRP_6,NR_Scan_SSB_RSRP_SortedBy_RSRP_0,NR_Scan_SSB_RSRP_SortedBy_RSRP_1,NR_Scan_SSB_RSRP_SortedBy_RSRP_2,NR_Scan_SSB_RSRP_SortedBy_RSRP_3,NR_Scan_SSB_RSRP_SortedBy_RSRP_4,NR_Scan_SSB_RSRP_SortedBy_RSRP_5,NR_Scan_SSB_RSRP_SortedBy_RSRP_6,NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,NR_Scan_SSB_RSRQ_SortedBy_RSRP_3,NR_Scan_SSB_RSRQ_SortedBy_RSRP_4,NR_Scan_SSB_RSRQ_SortedBy_RSRP_5,NR_Scan_SSB_RSRQ_SortedBy_RSRP_6,NR_Scan_SSB_SINR_SortedBy_RSRP_0,NR_Scan_SSB_SINR_SortedBy_RSRP_1,NR_Scan_SSB_SINR_SortedBy_RSRP_2,NR_Scan_SSB_SINR_SortedBy_RSRP_3,NR_Scan_SSB_SINR_SortedBy_RSRP_4,NR_Scan_SSB_SINR_SortedBy_RSRP_5,NR_Scan_SSB_SINR_SortedBy_RSRP_6,Time_Numeric
0,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
1,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
2,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
3,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
4,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
5,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
6,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
7,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
8,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
9,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
10,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
11,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
12,2025-03-14 12:14:33,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954473
13,2025-03-14 12:14:35,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954475
14,2025-03-14 12:14:35,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954475
15,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
16,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
17,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
18,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
19,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
20,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
21,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
22,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
23,2025-03-14 12:14:36,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954476
24,2025-03-14 12:14:37,29.02949,41.10723,640704,246,76,59,68,40,59,76,-118.8792718,-91.6906696,-103.9927067,-108.5712705,-110.7300809,-112.7003478,-109.5793697,-17.77479154,-20.83300678,-32.14147317,-35.19591055,-37.45391633,-38.08214741,-33.71917433,-5.940030512,-9.610934222,-21.9793357,-24.57701266,-30.91904064,-35.70576697,-24.11798051,1741954477
25,2025-03-14 12:14:37,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.71366748,-95.42206972,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.14406493,-23.96586745,-32.35859096,-35.26931176,-37.48687647,-38.03654654,-33.71917433,9.057599309,-12.8660119,-21.90166702,-24.92321788,-31.52795425,-35.70576697,-24.11798051,1741954477
26,2025-03-14 12:14:37,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.71366748,-95.42206972,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.14406493,-23.96586745,-32.35859096,-35.26931176,-37.48687647,-38.03654654,-33.71917433,9.057599309,-12.8660119,-21.90166702,-24.92321788,-31.52795425,-35.70576697,-24.11798051,1741954477
27,2025-03-14 12:14:37,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.71366748,-95.42206972,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.14406493,-23.96586745,-32.35859096,-35.26931176,-37.48687647,-38.03654654,-33.71917433,9.057599309,-12.8660119,-21.90166702,-24.92321788,-31.52795425,-35.70576697,-24.11798051,1741954477
28,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-82.37125,-95.34497214,-104.074015,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.51375,-23.17066254,-32.34056637,-35.26931176,-37.48687647,-38.03654654,-33.71917433,6.86375,-12.09270421,-21.8845268,-24.79446941,-31.52795425,-35.70576697,-24.11798051,1741954478
29,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-81.7625,-95.37931214,-104.074015,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.4075,-23.92956966,-32.34056637,-35.26931176,-37.48687647,-38.03654654,-33.71917433,7.9275,-12.83115479,-21.8845268,-24.79446941,-31.52795425,-35.70576697,-24.11798051,1741954478
30,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-82.98,-95.1972027,-103.9927067,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.62,-23.22694162,-32.14147317,-35.26931176,-37.48687647,-38.03654654,-33.71917433,5.8,-12.09270421,-21.9793357,-24.79446941,-31.52795425,-35.70576697,-24.11798051,1741954478
31,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-81.15375,-95.39703336,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.30125,-24.16129831,-32.31549538,-35.26931176,-37.48687647,-38.03654654,-33.71917433,8.99125,-13.36212121,-21.90166702,-24.79446941,-31.52795425,-35.70576697,-24.11798051,1741954478
32,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.545,-95.42206972,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.195,-25.04334122,-32.35859096,-35.26931176,-37.48687647,-38.03654654,-33.71917433,10.055,-14.22681852,-21.90166702,-24.92321788,-31.52795425,-35.70576697,-24.11798051,1741954478
33,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-79.93625,-95.5366848,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.08875,-25.38019999,-32.35859096,-35.26931176,-37.54478151,-37.96919905,-33.71917433,11.11875,-14.55558164,-21.90166702,-24.92321788,-31.52795425,-35.74009942,-24.11798051,1741954478
34,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-79.3275,-95.5366848,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-10.9825,-25.98823978,-32.43344975,-35.26931176,-37.56566353,-37.95951123,-33.71917433,12.1825,-15.20926845,-21.92062904,-24.92321788,-31.52795425,-35.74009942,-24.11798051,1741954478
35,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-78.71875,-95.55805623,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-10.87625,-27.04709832,-32.44406975,-35.26931176,-37.79134701,-37.97157867,-33.83252078,13.24625,-16.26468857,-21.92062904,-24.92321788,-31.52795425,-35.88211582,-24.11798051,1741954478
36,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-78.11,-96.24,-104.1377383,-108.3625047,-111.9117243,-112.7003478,-109.5582743,-10.77,-28.9,-32.44406975,-35.26931176,-37.89492468,-37.97157867,-33.83252078,14.31,-18.22,-21.92062904,-24.92321788,-31.54379949,-35.8548725,-24.11798051,1741954478
37,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-79.07666667,-95.934,-104.1377383,-108.3625047,-111.5376784,-112.7003478,-109.5582743,-10.82,-28.24514286,-32.44406975,-35.26931176,-37.81154429,-37.97157867,-33.83252078,13.28333333,-17.53685714,-21.92062904,-24.92321788,-31.53755244,-35.71285611,-24.11798051,1741954478
38,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-81.01,-96.138,-104.1377383,-108.3625047,-111.6723196,-112.7003478,-109.5582743,-10.92,-28.68171429,-32.31549538,-35.26931176,-37.67199128,-37.95951123,-33.83252078,11.23,-17.99228571,-21.90166702,-24.92321788,-31.53755244,-35.71285611,-24.11798051,1741954478
39,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.04333333,-96.036,-104.1377383,-108.3625047,-111.5376784,-112.7003478,-109.5582743,-10.87,-28.46342857,-32.35859096,-35.26931176,-37.79134701,-37.97157867,-33.83252078,12.25666667,-17.76457143,-21.90166702,-24.92321788,-31.53755244,-35.71285611,-24.11798051,1741954478
40,2025-03-14 12:14:38,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.39666667,-95.832,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-10.90333333,-28.02685714,-32.35859096,-35.26931176,-37.79134701,-37.97157867,-33.83252078,11.49666667,-17.30914286,-21.90166702,-24.92321788,-31.52795425,-35.71285611,-24.11798051,1741954478
41,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-79.78333333,-95.73,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-10.88666667,-27.80857143,-32.37766447,-35.26931176,-37.79134701,-37.97157867,-33.83252078,11.76333333,-17.08142857,-21.90166702,-24.92321788,-31.52795425,-35.74009942,-24.11798051,1741954479
42,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.04,-95.526,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.04714286,-27.372,-32.35859096,-35.26931176,-37.54478151,-37.95951123,-33.71917433,10.86142857,-16.626,-21.90166702,-24.92321788,-31.52795425,-35.74009942,-24.11798051,1741954479
43,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-79.17,-95.628,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-10.87,-27.59028571,-32.44406975,-35.26931176,-37.79134701,-37.97157867,-33.83252078,12.03,-16.85371429,-21.92062904,-24.92321788,-31.52795425,-35.74009942,-24.11798051,1741954479
44,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.91,-95.424,-104.1377383,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.22428571,-27.15371429,-32.31549538,-35.26931176,-37.48687647,-38.03654654,-33.71917433,9.692857143,-16.39828571,-21.90166702,-24.92321788,-31.52795425,-35.70576697,-24.11798051,1741954479
45,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-81.78,-95.322,-104.074015,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.40142857,-26.93542857,-32.34056637,-35.26931176,-37.48687647,-38.03654654,-33.71917433,8.524285714,-16.17057143,-21.8845268,-24.79446941,-31.52795425,-35.70576697,-24.11798051,1741954479
46,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-83.52,-95.016,-103.9927067,-108.3625047,-111.2690805,-112.7003478,-109.5582743,-11.75571429,-26.28057143,-32.14147317,-35.26931176,-37.48687647,-38.03654654,-33.71917433,6.187142857,-15.48742857,-22.05142364,-24.79446941,-31.42764664,-35.70576697,-24.11798051,1741954479
47,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-82.65,-94.914,-103.9927067,-108.3625047,-111.1281016,-112.7003478,-109.5582743,-11.57857143,-26.06228571,-32.25292492,-35.26931176,-37.48687647,-38.04175577,-33.71917433,7.355714286,-15.25971429,-21.86044907,-24.79446941,-31.05292325,-35.70576697,-24.11798051,1741954479
48,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-84.39,-95.22,-103.9927067,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-11.93285714,-26.71714286,-32.14147317,-35.26931176,-37.48687647,-38.03654654,-33.71917433,5.018571429,-15.94285714,-22.10712079,-24.79446941,-31.52795425,-35.70576697,-24.11798051,1741954479
49,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-85.26,-95.118,-103.9927067,-108.3625047,-111.4088322,-112.7003478,-109.5582743,-12.11,-26.49885714,-32.14147317,-35.26931176,-37.48687647,-38.03654654,-33.71917433,3.85,-15.71514286,-22.10712079,-24.79446941,-31.52795425,-35.70576697,-24.11798051,1741954479
50,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-83.77666667,-94.812,-103.9927067,-108.3625047,-110.8708025,-112.7003478,-109.5582743,-11.72666667,-25.844,-32.14147317,-35.26931176,-37.48687647,-38.04175577,-33.71917433,6.136666667,-15.032,-22.05142364,-24.79446941,-31.05292325,-35.70576697,-24.11798051,1741954479
51,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-82.29333333,-94.71,-104.116505,-108.3625047,-110.8708025,-112.7003478,-109.5582743,-11.34333333,-25.62571429,-32.34056637,-35.26931176,-37.48687647,-38.04175577,-33.71917433,8.423333333,-14.80428571,-21.90166702,-24.79446941,-31.05292325,-35.70576697,-24.11798051,1741954479
52,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-80.81,-94.608,-104.1377383,-108.3625047,-110.8708025,-112.7003478,-109.5582743,-10.96,-25.40742857,-32.31549538,-35.26931176,-37.56566353,-37.97078018,-33.71917433,10.71,-14.57657143,-21.90166702,-24.92321788,-31.05292325,-35.74009942,-24.11798051,1741954479
53,2025-03-14 12:14:39,29.02949,41.10723,640704,48,76,59,68,40,59,76,-81.434,-94.506,-104.1377383,-108.3625047,-110.8708025,-112.7003478,-109.5582743,-11.036,-25.18914286,-32.31549538,-35.26931176,-37.48687647,-38.03206796,-33.71917433,10.038,-14.34885714,-21.90166702,-24.79446941,-31.05292325,-35.70576697,-24.11798051,1741954479
54,2025-03-14 12:14:40,29.02949,41.10723,640704,48,76,59,68,40,59,76,-82.058,-94.404,-104.1377383,-108.3625047,-110.8708025,-112.7003478,-109.5582743,-11.112,-24.97085714,-32.34056637,-35.26931176,-37.48687647,-38.04175577,-33.71917433,9.366,-14.12114286,-21.90166702,-24.79446941,-31.05292325,-35.70576697,-24.11798051,1741954480
55,2025-03-14 12:14:40,29.02949,41.10723,640704,48,76,59,68,40,59,76,-82.682,-94.302,-104.1377383,-108.3625047,-110.7300809,-112.7003478,-109.5582743,-11.188,-24.75257143,-32.27559159,-35.26931176,-37.45391633,-38.04175577,-33.71917433,8.694,-13.89342857,-21.91850827,-24.79446941,-30.96482482,-35.70576697,-24.11798051,1741954480
56,2025-03-14 12:14:40,29.02949,41.10723,640704,48,76,59,68,40,59,76,-83.93,-94.2,-104.116505,-108.3625047,-110.7300809,-112.7003478,-109.5582743,-11.34,-24.53428571,-32.16413984,-35.26931176,-37.45391633,-38.04175577,-33.71917433,7.35,-13.66571429,-22.05759909,-24.79446941,-30.96482482,-35.70576697,-24.11798051,1741954480
57,2025-03-14 12:14:40,29.02949,41.10723,640704,48,76,59,68,40,59,76,-83.306,-94.098,-104.116505,-108.3625047,-110.7300809,-112.7003478,-109.5582743,-11.264,-24.316,-32.16413984,-35.26931176,-37.45391633,-38.04175577,-33.71917433,8.022,-13.438,-22.05759909,-24.79446941,-30.96482482,-35.70576697,-24.11798051,1741954480
58,2025-03-14 12:14:40,29.02949,41.10723,640704,48,76,59,68,40,59,76,-85.05333333,-93.996,-103.9927067,-108.3625047,-110.7300809,-112.7003478,-109.5582743,-11.67,-24.09771429,-32.14147317,-35.26931176,-37.45391633,-38.04175577,-33.71917433,5.94,-13.21028571,-21.9793357,-24.79446941,-30.96482482,-35.70576697,-24.11798051,1741954480
59,2025-03-14 12:14:40,29.02949,41.10723,640704,48,76,59,68,40,59,76,-86.17666667,-93.894,-103.9927067,-108.3625047,-110.7300809,-112.7003478,-109.5582743,-12,-23.87942857,-32.14147317,-35.26931176,-37.45391633,-38.04175577,-33.71917433,4.53,-12.98257143,-21.9793357,-24.79446941,-30.96482482,-35.70576697,-24.11798051,1741954480
60,2025-03-14 12:14:40,29.02949,41.10723,640704,48,76,59,68,40,59,76,-86.85333333,-93.792,-103.9927067,-108.3625047,-110.7300809,-112.7003478,-109.5582743,-12.03666667,-23.66114286,-32.14147317,-35.26931176,-37.45391633,-38.04175577,-33.71917433,4.316666667,-12.75485714,-21.9793357,-24.79446941,-30.96482482,-35.70576697,-24.11798051,1741954480
