Message,Time,Longitude,Latitude,Technology_Mode,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_PCI_4,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRP_4,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Nbr_RSRQ_4,NR_UE_Timing_Advance,NR_UE_Pathloss_DL_0,NR_UE_Throughput_PDCP_DL,App_Throughput_DL,NR_UE_NACK_Rate_DL_0,NR_UE_Ack_As_Nack_DL_0,NR_UE_MCS_DL_0,NR_UE_RB_Num_DL_0,NR_UE_Modulation_Avg_DL_0,NR_UE_RI_DL_0,NR_UE_BLER_DL_0,NR_UE_CCE_AggregationLev_0,NR_UE_Power_Tx_PUSCH_0,NR_UE_Power_Tx_PRACH_0,NR_UE_NACK_Rate_UL_0,NR_UE_RACH_Attempt,NR_UE_RACH_OK,NR_UE_RACH_Fail,NR_UE_RACH_Procedure_Count,NR_UE_RRCReEstAttempt,NR_UE_RRCReEstFail,NR_UE_RRCReEst_EndResult,NR_UE_RRCConnectionAttempt,NR_UE_RRCConnectionSetupOk,Unnamed: 48,NR_UE_RRCConnectionComplete,NR_UE_RRCConnectionDrop,NR_UE_RRCHOAttempt,NR_UE_RRCHOOK,NR_RRC_MsgType,NAS_5GS_MM_MessageType,NAS_5GS_SM_MessageType,Time_Numeric
0,2025-03-14 12:14:33,,,5GSA,48,-86.04760765,-11.25653604,7.126063178,76,,,,,-97.3,,,,,-16.3,,,,,,101.2226156,149.542297,11.39057637,83.48723055,,,,,,83.48723055,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473
2,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.71428571,-11.17142857,7.242857143,76,,,,,-97.3,,,,,-16.3,,,,,,101.2411786,4417.909507,1645.189925,75.19058442,,,,,,75.19058442,,17.5,,0.031441884,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473
3,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.90714286,-11.18571429,7.271428571,76,,,,,-97.3,,,,,-16.3,,,,,,101.257209,4456.203975,1715.669117,74.59651034,,,,,,74.59651034,,17.5,,0.032570917,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473
4,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.04760765,-11.11766251,7.126063178,76,,,,,-97.3,,,,,-16.3,,,,,,101.2226156,149.542297,11.39057637,83.48723055,,,,,,83.48723055,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473
5,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.04760765,-11.11766251,7.126063178,76,,,,,-97.3,,,,,-16.3,,,,,,101.2226156,149.542297,11.39057637,83.48723055,,,,,,83.48723055,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473
1,2025-03-14 12:14:33,,,5GSA,48,-87.1,-11.2,7.3,76,,,,,-97.3,,,,,-16.3,,,,,,101.257209,4456.203975,1715.669117,74.59651034,,,,,,74.59651034,,17.5,,0.032570917,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473
6,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.52142857,-11.15714286,7.214285714,76,,,,,-97.3,,,,,-16.3,,,,,,101.2411786,3568.394242,902.9481412,75.19058442,,,,,,75.19058442,,17.5,,0.011004608,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474
7,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.32857143,-11.14285714,7.185714286,76,,,,,-97.3,,,,,-16.3,,,,,,101.2411786,153.9763933,29.18835195,83.48723055,,,,,,83.48723055,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474
8,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.13571429,-11.12857143,7.157142857,76,,,,,-97.3,,,,,-16.3,,,,,,101.2226156,149.542297,11.39057637,83.48723055,,,,,,83.48723055,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474
9,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-85.94285714,-11.11428571,7.128571429,76,,,,,-97.3,,,,,-16.3,,,,,,101.2226156,149.542297,11.39057637,83.48723055,,,,,,83.48723055,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474
