step,DL_lon,DL_lat,UL_lon,UL_lat,Scanner_lon,Scanner_lat,fused_lon,fused_lat
15,29.028872,41.10729,29.027052,41.107315,29.023016,41.10507,29.027428,41.106964
16,29.028872,41.10729,29.02145,41.104618,29.023016,41.10507,29.02568,41.106125
17,29.021229,41.104637,29.02145,41.104618,29.023016,41.10507,29.021566,41.1047
18,29.021229,41.104637,29.02145,41.104618,29.023016,41.10507,29.021566,41.1047
19,29.021229,41.104637,29.02145,41.104618,29.023016,41.10507,29.021566,41.1047
20,29.020931,41.104843,29.02145,41.104618,29.023016,41.10507,29.021404,41.10481
21,29.020931,41.104843,29.02145,41.104618,29.023016,41.10507,29.021404,41.10481
22,29.020931,41.104843,29.02145,41.104618,29.023016,41.10507,29.021404,41.10481
23,29.020931,41.104843,29.02145,41.104618,29.023016,41.10507,29.021404,41.10481
24,29.020931,41.104843,29.02145,41.104618,29.023016,41.10507,29.021404,41.10481
25,29.020931,41.104843,29.02145,41.104618,29.023016,41.10507,29.021404,41.10481
26,29.020931,41.104843,29.02145,41.104618,29.023016,41.10507,29.021404,41.10481
27,29.020931,41.104843,29.02145,41.104618,29.023016,41.10507,29.021404,41.10481
28,29.029345,41.107315,29.02145,41.104618,29.023016,41.10507,29.025936,41.106136
29,29.029345,41.107315,29.02145,41.104618,29.023016,41.10507,29.025936,41.106136
30,29.029345,41.107315,29.02145,41.104618,29.023016,41.10507,29.025936,41.106136
31,29.029345,41.107315,29.02145,41.104618,29.022999,41.10517,29.025934,41.10615
32,29.029345,41.107315,29.02145,41.104618,29.022999,41.10517,29.025934,41.10615
33,29.029345,41.107315,29.02145,41.104618,29.022999,41.10517,29.025934,41.10615
34,29.029345,41.107315,29.02145,41.104618,29.022999,41.10517,29.025934,41.10615
35,29.028858,41.107315,29.02145,41.104618,29.022999,41.10517,29.025671,41.10615
36,29.028858,41.107315,29.02145,41.104618,29.022999,41.10517,29.025671,41.10615
37,29.028858,41.107315,29.02145,41.104618,29.021149,41.10543,29.025394,41.106194
38,29.028858,41.107315,29.02145,41.104618,29.021149,41.10543,29.025394,41.106194
39,29.028858,41.107315,29.02145,41.104618,29.021149,41.1053,29.025394,41.10617
40,29.028858,41.107315,29.02145,41.104618,29.021149,41.1053,29.025394,41.10617
41,29.028858,41.107315,29.02145,41.104618,29.021149,41.1053,29.025394,41.10617
42,29.028858,41.107315,29.02145,41.104618,29.021149,41.1053,29.025394,41.10617
43,29.021229,41.104637,29.02145,41.104618,29.021149,41.1053,29.021286,41.104733
44,29.021229,41.104637,29.02145,41.104618,29.021149,41.105434,29.021286,41.10475
45,29.021229,41.104637,29.02145,41.104618,29.021149,41.105434,29.021286,41.10475
46,29.021229,41.104637,29.027756,41.10739,29.021149,41.105434,29.02325,41.105618
47,29.021229,41.104637,29.027756,41.10739,29.021149,41.105434,29.02325,41.105618
48,29.021229,41.104637,29.027756,41.10739,29.021149,41.105434,29.02325,41.105618
49,29.021229,41.104637,29.027756,41.10739,29.021149,41.105434,29.02325,41.105618
50,29.021229,41.104637,29.027756,41.10739,29.021057,41.105347,29.023237,41.105602
51,29.021229,41.104637,29.027836,41.107384,29.021057,41.105347,29.023266,41.105602
52,29.021229,41.104637,29.027836,41.107384,29.023035,41.105415,29.023558,41.105614
53,29.021229,41.104637,29.027836,41.107384,29.023012,41.10513,29.023558,41.10557
54,29.021229,41.104637,29.027836,41.107384,29.023012,41.10513,29.023558,41.10557
55,29.021229,41.104637,29.027836,41.107384,29.023012,41.10513,29.023558,41.10557
56,29.021229,41.104637,29.027836,41.107384,29.023012,41.10513,29.023558,41.10557
57,29.021229,41.104637,29.027836,41.107384,29.023031,41.10513,29.023558,41.10557
58,29.021229,41.104637,29.027836,41.107384,29.023031,41.10513,29.023558,41.10557
59,29.021229,41.104637,29.027836,41.107384,29.023031,41.10513,29.023558,41.10557
60,29.021229,41.104637,29.027836,41.107384,29.023031,41.10513,29.023558,41.10557
61,29.021229,41.104637,29.02145,41.1053,29.023031,41.10513,29.02157,41.104916
62,29.021229,41.104637,29.02145,41.1053,29.02303,41.1053,29.02157,41.104942
